match_id,id,subtype,event_incident_typefk,elapsed,elapsed_plus,del,homepos,awaypos,injury_time,goal_type,card_type
489231,540189,"possession",352,70,,,"49","51",,,
489231,540377,"possession",352,86,,,"50","50",,,
489232,538713,"possession",352,25,,,"61","39",,,
489232,538910,"possession",352,45,"3",,"63","37",,,
489232,539183,"possession",352,70,,,"63","37",,,
489232,539361,"possession",352,90,"4",,"62","38",,,
489052,382231,"possession",352,25,,,"56","44",,,
489052,382542,"possession",352,45,,,"57","43",,,
489052,383348,"possession",352,75,,,"56","44",,,
489052,383485,"possession",352,90,,,"57","43",,,
489053,382278,"possession",352,29,,,"56","44",,,
489053,382594,"possession",352,45,"2",,"51","49",,,
489053,383468,"possession",352,90,"1",,"55","45",,,
489054,382322,"possession",352,25,,,"51","49",,,
489054,382726,"possession",352,45,,,"57","43",,,
489054,383238,"possession",352,70,,,"53","47",,,
489054,383547,"possession",352,90,"2",,"57","43",,,
489055,384560,"possession",352,25,,,"41","59",,,
489055,384693,"possession",352,45,"1",,"56","44",,,
489055,384905,"possession",352,70,,,"56","44",,,
489055,385056,"possession",352,90,,,"58","42",,,
489056,382218,"possession",352,24,,,"60","40",,,
489056,382558,"possession",352,44,,,"59","41",,,
489056,383214,"possession",352,70,,,"59","41",,,
489056,383480,"possession",352,90,,,"60","40",,,
489057,383731,"possession",352,25,,,"38","62",,,
489057,383792,"possession",352,45,"3",,"45","55",,,
489057,383865,"possession",352,70,,,"46","54",,,
489057,383933,"possession",352,90,"5",,"47","53",,,
489058,382224,"possession",352,25,,,"43","57",,,
489058,382623,"possession",352,45,"4",,"53","47",,,
489058,383169,"possession",352,70,,,"55","45",,,
489058,383551,"possession",352,90,"4",,"47","53",,,
489059,385665,"possession",352,25,,,"41","59",,,
489059,385722,"possession",352,45,"1",,"41","59",,,
489059,385790,"possession",352,72,,,"39","61",,,
489059,385828,"possession",352,90,,,"36","64",,,
489060,382237,"possession",352,25,,,"55","45",,,
489060,382580,"possession",352,45,,,"48","52",,,
489060,383156,"possession",352,69,,,"47","53",,,
489060,383510,"possession",352,90,"1",,"46","54",,,
489061,383997,"possession",352,25,,,"53","47",,,
489061,384098,"possession",352,45,"3",,"51","49",,,
489061,384250,"possession",352,70,,,"49","51",,,
489061,384389,"possession",352,90,"5",,"50","50",,,
489233,542860,"possession",352,25,,,"53","47",,,
489233,542931,"possession",352,45,,,"45","55",,,
489233,543016,"possession",352,70,,,"57","43",,,
489233,543070,"possession",352,90,,,"53","47",,,
489234,541499,"possession",352,25,,,"61","39",,,
489234,541775,"possession",352,45,,,"54","46",,,
489234,542144,"possession",352,70,,,"55","45",,,
489234,542425,"possession",352,90,,,"57","43",,,
489235,541493,"possession",352,25,,,"58","42",,,
489235,541759,"possession",352,45,"1",,"52","48",,,
489235,542211,"possession",352,72,,,"61","39",,,
489235,542478,"possession",352,90,,,"67","33",,,
489236,541488,"possession",352,24,,,"60","40",,,
489236,541806,"possession",352,45,"1",,"62","38",,,
489236,542154,"possession",352,69,,,"60","40",,,
489236,542462,"possession",352,90,"1",,"59","41",,,
489237,541001,"possession",352,18,,,"34","66",,,
489237,541031,"possession",352,31,,,"38","62",,,
489237,541055,"possession",352,45,"1",,"36","64",,,
489237,541075,"possession",352,57,,,"70","30",,,
489237,541104,"possession",352,75,,,"45","55",,,
489238,542601,"possession",352,25,,,"49","51",,,
489238,542665,"possession",352,45,"3",,"50","50",,,
489238,542726,"possession",352,70,,,"53","47",,,
489238,542793,"possession",352,90,"5",,"51","49",,,
489239,541372,"possession",352,16,,,"43","57",,,
489239,541436,"possession",352,21,,,"26","74",,,
489239,541648,"possession",352,36,,,"39","61",,,
489239,541787,"possession",352,45,,,"46","54",,,
489239,542169,"possession",352,70,,,"40","60",,,
489239,542473,"possession",352,90,"2",,"41","59",,,
489240,541517,"possession",352,25,,,"54","46",,,
489240,541834,"possession",352,45,"4",,"47","53",,,
489240,542214,"possession",352,70,,,"42","58",,,
489240,542541,"possession",352,90,"6",,"44","56",,,
489241,541466,"possession",352,25,,,"47","53",,,
489241,541763,"possession",352,45,,,"47","53",,,
489241,542193,"possession",352,70,,,"48","52",,,
489241,542463,"possession",352,90,,,"53","47",,,
489242,543137,"possession",352,25,,,"43","57",,,
489242,543180,"possession",352,45,,,"40","60",,,
489242,543246,"possession",352,70,,,"43","57",,,
489242,543294,"possession",352,90,"1",,"43","57",,,
489243,549633,"possession",352,25,,,"59","41",,,
489243,549759,"possession",352,45,"3",,"55","45",,,
489243,549918,"possession",352,70,,,"53","47",,,
489243,550048,"possession",352,90,"4",,"56","44",,,
489244,546925,"possession",352,25,,,"57","43",,,
489244,547100,"possession",352,45,,,"61","39",,,
489244,547381,"possession",352,70,,,"59","41",,,
489244,547551,"possession",352,90,,,"64","36",,,
489245,546514,"possession",352,25,,,"51","49",,,
489245,546568,"possession",352,45,,,"50","50",,,
489245,546645,"possession",352,70,,,"57","43",,,
489245,546691,"possession",352,90,,,"53","47",,,
489246,546912,"possession",352,26,,,"52","48",,,
489246,546973,"possession",352,32,,,"60","40",,,
489246,547099,"possession",352,45,"2",,"51","49",,,
489246,547351,"possession",352,71,,,"59","41",,,
489246,547408,"possession",352,76,,,"60","40",,,
489246,547564,"possession",352,90,"2",,"57","43",,,
489247,546913,"possession",352,25,,,"51","49",,,
489247,547110,"possession",352,45,"2",,"51","49",,,
489247,547328,"possession",352,70,,,"56","44",,,
489247,547597,"possession",352,90,"5",,"55","45",,,
489248,546901,"possession",352,24,,,"57","43",,,
489248,547086,"possession",352,44,,,"47","53",,,
489248,547333,"possession",352,70,,,"50","50",,,
489248,547528,"possession",352,89,,,"54","46",,,
489249,609246,"possession",352,21,,,"38","62",,,
489249,609324,"possession",352,28,,,"63","37",,,
489249,609406,"possession",352,45,"1",,"51","49",,,
489249,609915,"possession",352,72,,,"51","49",,,
489249,610036,"possession",352,90,"1",,"4","96",,,
489249,610041,"possession",352,90,"1",,"49","51",,,
489250,579324,"possession",352,26,,,"53","47",,,
489250,579442,"possession",352,45,"1",,"53","47",,,
489250,579669,"possession",352,74,,,"51","49",,,
489250,579742,"possession",352,90,"1",,"55","45",,,
489251,547705,"possession",352,11,,,"22","78",,,
489251,547758,"possession",352,29,,,"28","72",,,
489251,547841,"possession",352,45,"1",,"41","59",,,
489251,547931,"possession",352,66,,,"24","76",,,
489251,548025,"possession",352,90,"1",,"35","65",,,
489252,548763,"possession",352,22,,,"48","52",,,
489252,548808,"possession",352,31,,,"50","50",,,
489252,548937,"possession",352,45,"1",,"52","48",,,
489252,549151,"possession",352,71,,,"53","47",,,
489252,549275,"possession",352,90,"2",,"51","49",,,
489253,556556,"possession",352,24,,,"60","40",,,
489253,556603,"possession",352,45,,,"50","50",,,
489253,556661,"possession",352,70,,,"52","48",,,
489253,556690,"possession",352,90,,,"56","44",,,
489254,552531,"possession",352,25,,,"39","61",,,
489254,552665,"possession",352,45,"1",,"40","60",,,
489254,553233,"possession",352,70,,,"45","55",,,
489254,553316,"possession",352,90,,,"50","50",,,
