match_id,id,subtype,event_incident_typefk,elapsed,elapsed_plus,del,goal_type,coordinates,player1,player2,team
839954,1298091,"shot",80,27,,,"n",,"27430",,10260
839954,1298661,"shot",393,47,,,"n",,"27430","40945",10260
839954,1298696,"shot",393,48,,,"n",,"40945","40961",10260
839954,1299003,"loose_ball",131,62,,,"n",,"27430",,10260
839954,1299146,"loose_ball",131,70,,,"n",,"27430",,10260
839954,1299419,"header",406,84,,,"n",,"19020","213063",8655
839955,1303317,"shot",80,42,,,"n",,"22764",,8650
839955,1303601,,247,61,,,"npm",,,,8586
839955,1303654,,115,66,,,"o",,"22764",,8650
839955,1303893,"shot",393,90,"2",,"n",,"30895","30830",8586
839956,1298249,"shot",393,34,,,"n",,"30966","26347",8654
839956,1298833,"shot",393,56,,,"n",,"24450","26347",8654
839956,1299008,"saved_back_into_play",348,64,,,"npm",,"18859",,8528
839956,1299223,"shot",393,75,,,"n",,"24223","24450",8654
839956,1299428,"shot",80,86,,,"n",,"160713",,8528
839957,1297235,"shot",393,39,,,"n",,"3520","30973",9825
839957,1297249,"deflected",414,45,,,"n",,"26181","3520",9825
839957,1297270,"volley",6,52,,,"n",,"161414",,10252
839957,1297284,"shot",393,56,,,"n",,"25537","31435",9825
839957,1297354,"header",406,70,,,"n",,"161414","24211",10252
839957,1297464,"header",406,90,"3",,"n",,"143793","25537",9825
839958,1297866,,395,16,,,"n",,"25005","23257",8659
839958,1298073,"direct_freekick",130,26,,,"n",,"23257",,8659
839958,1298412,,395,42,,,"n",,"30876","24846",8668
839958,1299240,"shot",393,76,,,"n",,"33790","23922",8659
839958,1299448,,115,87,,,"o",,"24216",,8668
839959,1301593,"shot",80,6,,,"n",,"47382",,10261
839959,1301856,"shot",393,45,,,"n",,"31906","30679",8455
839960,1298007,,289,22,,,"dg",,,,8602
839960,1298731,"shot",393,50,,,"n",,"23099","23538",8602
839960,1299081,"shot",393,67,,,"n",,"23949","41980",8472
839960,1299278,"header",406,77,,,"n",,"113836","36786",8472
839960,1299384,"shot",393,81,,,"n",,"23225","23435",8602
839960,1299515,"shot",393,89,,,"n",,"34433","23291",8602
839961,1297974,"shot",393,20,,,"n",,"35443","26169",8658
839961,1298777,"header",406,53,,,"n",,"30956","24737",9879
839962,1298123,"header",406,29,,,"n",,"35554","46344",8483
839962,1298863,"header",406,58,,,"n",,"22959","46344",8483
839962,1299236,"shot",393,76,,,"n",,"33633","155384",8559
839962,1299490,"shot",393,89,,,"n",,"155384","30753",8559
839963,1299398,"shot",393,81,,,"n",,"24208","38807",8456
839963,1299586,"shot",393,90,"2",,"n",,"24773","42183",10194
839964,1311321,"shot",393,14,,,"n",,"26181","3520",9825
839964,1311585,"shot",393,30,,,"n",,"24661","30956",9879
839964,1312490,"shot",393,76,,,"n",,"26181","30843",9825
839965,1318774,"header",406,14,,,"n",,"41175","22764",8650
839965,1318790,"shot",393,16,,,"n",,"30915","95327",8650
839965,1319049,"shot",393,55,,,"n",,"33632","41175",8650
839966,1316560,"shot",393,34,,,"n",,"156008","41980",8472
839967,1311139,"shot",393,4,,,"n",,"38817","36615",8456
839968,1311577,"header",406,29,,,"n",,"30342","23921",8655
839968,1311801,"shot",393,43,,,"n",,"30842","34176",8655
839968,1312160,"volley",411,55,,,"n",,"23921","23916",8655
839969,1311421,"loose_ball",131,19,,,"n",,"26209",,8586
839969,1312573,"header",406,81,,,"n",,"25075","38567",8658
839970,1315080,"shot",393,32,,,"n",,"33790","23257",8659
839970,1315693,"shot",80,71,,,"n",,"25550",,8659
839970,1315911,"shot",393,89,,,"n",,"25550","25922",8659
839970,1315966,"loose_ball",391,90,"2",,"n",,"36412","47382",10261
839971,1379992,"header",406,15,,,"n",,"40548","39109",8483
839971,1380309,"header",406,43,,,"n",,"21853","39109",8483
839971,1380731,"volley",411,72,,,"n",,"27430","24148",10260
839971,1380753,"shot",393,74,,,"n",,"70409","24154",10260
839971,1380921,"shot",393,88,,,"n",,"27430","30373",10260
839972,1311399,"direct_freekick",130,18,,,"n",,"38899",,10194
839972,1311578,,115,30,,,"o",,"24408",,10194
839972,1311607,"shot",393,31,,,"n",,"24773","38755",10194
839972,1311756,,115,40,,,"o",,"25668",,10194
839973,1311780,,20,42,,,"p",,"30822",,8455
839973,1312602,"header",406,86,,,"n",,"31989","30876",8668
839974,1330770,"header",44,41,,,"n",,"30802",,10260
839974,1330944,"missed",22,74,,,"npm",,"30829",,10260
839975,1328815,"shot",393,15,,,"n",,"40755","30348",8586
839975,1329393,"shot",393,70,,,"n",,"30822","30859",8455
839975,1329676,"saved_back_into_play",348,90,"3",,"npm",,"30822",,8455
839976,1323750,"shot",393,30,,,"n",,"36615","23782",8456
839976,1324609,"shot",80,73,,,"n",,"36615",,8456
839976,1324720,"shot",393,81,,,"n",,"24159","37459",8456
839976,1324841,"header",406,89,,,"n",,"109897","24450",8654
839977,1323669,"shot",393,25,,,"n",,"30892","23354",10252
839977,1324712,"header",406,80,,,"n",,"34466","139671",10252
839977,1324860,"header",406,90,,,"n",,"25005","23257",8659
839979,1325437,"volley",411,15,,,"n",,"23933","47382",10261
839979,1325995,"shot",80,50,,,"n",,"37139",,8650
839979,1326323,"loose_ball",131,80,,,"n",,"24205",,10261
839979,1326392,"distance",407,90,"1",,"n",,"47382","37475",10261
839980,1327373,"shot",393,45,,,"n",,"23225","34433",8602
839982,1327873,"shot",80,65,,,"n",,"35532",,8559
839982,1328181,"shot",393,87,,,"n",,"72735","34176",8655
839982,1328196,"shot",393,88,,,"n",,"24455","23934",8559
839983,1324149,"shot",393,48,,,"n",,"21853","39109",8483
839984,1424921,"header",406,8,,,"n",,"33812","36410",9825
839985,1382695,,115,52,,,"o",,"37266",,9879
839986,1334521,"header",44,32,,,"n",,"113836",,8472
839987,1339695,"header",406,4,,,"n",,"30876","77690",8668
839987,1339755,"shot",393,19,,,"n",,"24846","30876",8668
839987,1340059,"shot",80,72,,,"n",,"36615",,8456
839988,1335088,"shot",80,51,,,"n",,"23921",,8655
839988,1335190,"shot",80,78,,,"n",,"160496",,8654
839989,1411714,"shot",393,2,,,"n",,"36412","33852",10261
839989,1412120,"header",406,50,,,"n",,"35454","33852",10261
839990,1419664,"shot",393,39,,,"n",,"25421","31317",8602
839990,1420042,"shot",393,90,"2",,"n",,"75342","24171",8659
839991,1423749,,20,18,,,"p",,"39109",,8483
839991,1423909,"volley",411,44,,,"n",,"21853","24001",8483
839991,1424374,"shot",80,80,,,"n",,"23299",,8483
839991,1424409,,115,90,"3",,"o",,"40548",,8483
839992,1380604,"header",406,50,,,"n",,"23264","33863",10252
839992,1380747,,20,61,,,"p",,"23354",,10252
839992,1380961,"shot",393,80,,,"n",,"101192","29581",8528
839993,1436294,"distance",407,29,,,"n",,"30829","40945",10260
